iter	Passed	Remaining
0	1	156
1	2	143
2	4	134
3	5	124
4	6	125
5	7	123
6	9	124
7	11	133
8	13	134
9	15	135
10	16	132
11	17	128
12	18	124
13	19	121
14	20	118
15	22	115
16	23	115
17	24	113
18	26	112
19	27	110
20	28	107
21	29	105
22	30	103
23	31	100
24	33	99
25	34	97
26	35	95
27	36	93
28	37	92
29	38	90
30	40	90
31	41	89
32	43	87
33	44	85
34	45	84
35	46	82
36	47	80
37	48	79
38	49	77
39	51	76
40	52	75
41	52	73
42	54	71
43	55	70
44	56	69
45	57	68
46	59	66
47	60	65
48	61	63
49	62	62
50	63	60
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	71	52
58	73	50
59	74	49
60	75	48
61	76	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	91	31
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	106	17
86	107	16
87	109	14
88	110	13
89	112	12
90	113	11
91	115	10
92	116	8
93	118	7
94	121	6
95	123	5
96	124	3
97	126	2
98	128	1
99	131	0
